Virus Name,Virus Protein,Human Protein,Bait_Prey,PreyGene,MIST,Reproducibility,Specificity,Abundance,SaintScore,BFDR,AvgSpec,Spec,CtrlCounts,FoldChange
SARS-CoV2,nsp9,P31040,nsp9-P31040,SDHA,0.005388618,0.00000000,0.007860185,6.41E-05,0,0.69,0.33,0|0|1,2|0|2|1|0|0|0|0|1|0|0,0.61
SARS-CoV2,nsp9,P31153,nsp9-P31153,MAT2A,0.509205497,0.95894315,0.311197833,0.002272019,0.98,0,7.67,8|5|10,1|0|1|1|1|0|1|1|2|0|1,9.37
SARS-CoV2,nsp9,P31689,nsp9-P31689,DNAJA1,0.300640272,0.93908102,0.015900822,0.000911685,0.03,0.52,3,2|4|3,0|0|2|6|7|0|0|7|1|1|1,1.32
SARS-CoV2,nsp9,P31942,nsp9-P31942,HNRNPH3,0.060958038,0.00000000,0.088921175,0.000282378,0.21,0.37,1,3|0|0,0|2|1|7|0|0|0|0|0|0|0,1.1
SARS-CoV2,nsp9,P31943,nsp9-P31943,HNRNPH1,0.319488769,0.99338499,0.018961271,0.00026148,0,0.69,1,1|1|1,1|4|3|3|0|1|1|2|2|1|3,0.52
SARS-CoV2,nsp9,P32121,nsp9-P32121,ARRB2,0.325133367,0.98555676,0.030703231,0.002041442,0,0.69,7.33,10|5|7,14|12|17|10|9|8|10|8|15|5|8,0.7
SARS-CoV2,nsp9,P32969,nsp9-P32969,RPL9,0.328395607,0.97830081,0.038701562,0.005058858,0,0.66,8.33,9|10|6,6|8|10|12|8|6|6|7|5|4|8,1.15
SARS-CoV2,nsp9,P33316,nsp9-P33316,DUT,0.330124592,0.96537263,0.047067248,0.002199221,0,0.64,4.67,4|6|4,4|5|5|6|5|5|5|5|6|2|3,1.01
SARS-CoV2,nsp9,P33992,nsp9-P33992,MCM5,0.296812683,0.92229101,0.017880035,0.000217571,0,0.69,1.33,1|2|1,4|3|3|3|1|1|1|1|2|7|2,0.52
SARS-CoV2,nsp9,P34932,nsp9-P34932,HSPA4,0.394234944,0.97205609,0.137590175,0.001180664,1,0,8.33,7|8|10,0|0|0|0|0|0|0|0|0|0|0,83.33
SARS-CoV2,nsp9,P35030,nsp9-P35030,PRSS3,0.20973524,0.62322727,0.025454717,0.000246251,0,0.69,0.67,1|1|0,1|1|1|1|1|1|1|1|1|1|1,0.67
SARS-CoV2,nsp9,P35080,nsp9-P35080,PFN2,0.335178686,0.99338499,0.041844201,0.000838604,0,0.69,1,1|1|1,1|1|0|1|2|2|1|1|2|1|1,0.85
SARS-CoV2,nsp9,P35232,nsp9-P35232,PHB,0.329710446,0.99337272,0.03386271,0.002002685,0,0.69,4.67,5|4|5,4|4|10|3|6|3|8|4|6|7|6,0.84
SARS-CoV2,nsp9,P35268,nsp9-P35268,RPL22,0.336384971,0.98914149,0.0454544,0.007668198,0,0.65,8.33,8|9|8,5|6|5|7|10|7|6|8|7|7|7,1.22
SARS-CoV2,nsp9,P35555,nsp9-P35555,FBN1,0.992372395,0.99458293,1,0.00062483,1,0,15.33,16|14|16,0|0|0|0|0|0|0|0|0|0|0,153.33
SARS-CoV2,nsp9,P35556,nsp9-P35556,FBN2,0.991012329,0.99566727,0.997504376,0.003336075,1,0,83,86|83|80,0|0|0|0|0|0|0|0|0|0|0,830
SARS-CoV2,nsp9,P35637,nsp9-P35637,FUS,0.335702833,0.92189518,0.074788764,0.000347034,0.09,0.46,1.67,3|1|1,1|2|4|2|0|0|0|0|2|2|1,1.31
SARS-CoV2,nsp9,P35658,nsp9-P35658,NUP214,0.962233264,0.89689934,1,0.000488605,1,0,8.33,4|10|11,0|0|0|0|0|0|0|0|0|0|0,83.33
SARS-CoV2,nsp9,P35659,nsp9-P35659,DEK,0.330505662,0.99487192,0.034341892,0.002704258,0,0.69,8.67,9|9|8,9|11|12|16|13|6|7|10|12|8|8,0.85
SARS-CoV2,nsp9,P36578,nsp9-P36578,RPL4,0.018573044,0.00000000,0.027087793,0.000686437,0.24,0.36,3,9|0|0,0|5|8|8|0|0|0|0|6|0|0,1.22
SARS-CoV2,nsp9,P37108,nsp9-P37108,SRP14,0.336749164,0.95781383,0.060121436,0.003526434,0.02,0.54,4,3|4|5,2|3|3|3|5|2|1|3|3|2|3,1.47
SARS-CoV2,nsp9,P37198,nsp9-P37198,NUP62,0.993010451,0.99658521,1,0.004029321,1,0,18,19|18|17,0|0|0|0|0|0|0|0|0|0|0,180
SARS-CoV2,nsp9,P37802,nsp9-P37802,TAGLN2,0.33429237,0.99338499,0.040553433,0.000589973,0,0.69,1,1|1|1,2|1|1|1|0|0|0|0|3|0|1,1.22
SARS-CoV2,nsp9,P38159,nsp9-P38159,RBMX,0.021387007,0.00000000,0.031197956,8.33E-05,0,0.69,0.33,1|0|0,0|2|2|1|0|0|0|0|1|0|0,0.61
SARS-CoV2,nsp9,P38432,nsp9-P38432,COIL,0.233225919,0.00000000,0.340221998,5.65E-05,0,0.69,0.33,1|0|0,0|0|0|0|0|0|0|0|0|0|0,3.33
SARS-CoV2,nsp9,P38646,nsp9-P38646,HSPA9,0.337393523,0.99247822,0.045446397,0.005076621,0,0.64,29.33,29|30|29,17|12|18|17|18|15|12|9|13|14|15,2.02
SARS-CoV2,nsp9,P38919,nsp9-P38919,EIF4A3,0.227198804,0.61019476,0.056795462,0.000261382,0.12,0.43,1,2|1|0,1|2|2|1|0|0|1|0|1|0|0,1.38
SARS-CoV2,nsp9,P39019,nsp9-P39019,RPS19,0.3168503,0.95309430,0.033195776,0.006053419,0,0.67,7.67,10|4|9,14|12|9|14|6|4|5|7|8|10|8,0.87
SARS-CoV2,nsp9,P39023,nsp9-P39023,RPL3,0.320687046,0.89814978,0.0635626,0.001358233,0.21,0.37,5,9|4|2,1|7|9|4|0|0|0|0|9|0|0,1.83
SARS-CoV2,nsp9,P39748,nsp9-P39748,FEN1,0.347632055,0.99524547,0.059156992,0.002728126,0,0.62,9,11|9|7,11|9|3|14|9|4|2|1|1|5|10,1.43
SARS-CoV2,nsp9,P40227,nsp9-P40227,CCT6A,0.202940589,0.62287655,0.015701659,0.000141454,0,0.69,0.67,1|0|1,0|0|0|1|0|0|0|0|1|0|0,3.67
SARS-CoV2,nsp9,P40429,nsp9-P40429,RPL13A,0.015836233,0.00000000,0.023099994,0.000160432,0,0.69,0.33,1|0|0,0|2|1|1|0|0|0|0|2|0|0,0.61
SARS-CoV2,nsp9,P40926,nsp9-P40926,MDH2,0.210223184,0.62322727,0.026166729,0.00022148,0,0.69,0.67,1|1|0,3|1|1|1|1|1|0|0|4|1|2,0.49
SARS-CoV2,nsp9,P40939,nsp9-P40939,HADHA,0.012436188,0.00000000,0.018140399,0.000128051,0.29,0.33,1,3|0|0,0|0|1|3|0|0|0|0|0|0|0,2.75
SARS-CoV2,nsp9,P41223,nsp9-P41223,BUD31,0.190725425,0.58020949,0.017079443,0.000882844,0,0.69,1,0|2|1,3|3|3|4|4|1|2|3|3|3|2,0.35
