Virus Name,Virus Protein,Host protein
SARS-CoV-1,M,P40763
SARS-CoV-1,M,P43003
SARS-CoV-1,M,P49768
SARS-CoV-1,M,P56589
SARS-CoV-1,M,P61803
SARS-CoV-1,M,P98194
SARS-CoV-1,M,Q13409
SARS-CoV-1,M,Q13433
SARS-CoV-1,M,Q13505
SARS-CoV-1,M,Q14CZ7
SARS-CoV-1,M,Q15043
SARS-CoV-1,M,Q15386
SARS-CoV-1,M,Q53R41
SARS-CoV-1,M,Q5BJH7
SARS-CoV-1,M,Q5H8A4
SARS-CoV-1,M,Q5T1Q4
SARS-CoV-1,M,Q5T9L3
SARS-CoV-1,M,Q6AI08
SARS-CoV-1,M,Q6P3X3
SARS-CoV-1,M,Q6PJG6
SARS-CoV-1,M,Q7L8L6
SARS-CoV-1,M,Q7RTS9
SARS-CoV-1,M,Q7Z3U7
SARS-CoV-1,M,Q86UL3
SARS-CoV-1,M,Q8N1F8
SARS-CoV-1,M,Q8N5G2
SARS-CoV-1,M,Q8TBF5
SARS-CoV-1,M,Q8TCJ2
SARS-CoV-1,M,Q8WUD6
SARS-CoV-1,M,Q8WY22
SARS-CoV-1,M,Q92604
SARS-CoV-1,M,Q969V3
SARS-CoV-1,M,Q96AA3
SARS-CoV-1,M,Q96CW5
SARS-CoV-1,M,Q96D53
SARS-CoV-1,M,Q99805
SARS-CoV-1,M,Q9BQ95
SARS-CoV-1,M,Q9BSJ2
SARS-CoV-1,M,Q9BTY2
SARS-CoV-1,M,Q9C0D9
SARS-CoV-1,M,Q9C0E2
SARS-CoV-1,M,Q9GZM5
SARS-CoV-1,M,Q9H2J7
SARS-CoV-1,M,Q9H583
SARS-CoV-1,M,Q9H7F0
SARS-CoV-1,M,Q9H845
SARS-CoV-1,M,Q9H8M5
SARS-CoV-1,M,Q9NVH2
SARS-CoV-1,M,Q9NVI1
SARS-CoV-1,M,Q9P2R7
SARS-CoV-1,M,Q9UBF2
SARS-CoV-1,M,Q9UKV5
SARS-CoV-1,M,Q9ULF5
SARS-CoV-1,M,Q9Y4R8
SARS-CoV-1,M,Q9Y5Y0
SARS-CoV-1,M,Q9BXW9
SARS-CoV-1,N,O43818
SARS-CoV-1,N,O75683
SARS-CoV-1,N,P16989
SARS-CoV-1,N,P19784
SARS-CoV-1,N,P67870
SARS-CoV-1,N,Q13283
SARS-CoV-1,N,Q13310
SARS-CoV-1,N,Q6PKG0
SARS-CoV-1,N,Q86U42
SARS-CoV-1,N,Q8NCA5
SARS-CoV-1,N,Q8TAD8
SARS-CoV-1,N,Q9BQ75
SARS-CoV-1,N,Q9UN86
